infinitivo,ending,stem,pensyl,prePensyl,posPensyl,pronoun,tense,mood,class_suff,class_pensyl,class_prePensyl,class_posPensyl,conjugacion
sufrir,ir,fr,su,NULL,su,yo,0,0,o,0,NULL,0,sufro
sugerir,ir,r,ge,NULL,ge,yo,0,0,o,gie,g,ie,sugiero
suponer,er,n,po,NULL,po,yo,0,0,go,pon,p,on,supongo
sorprender,er,d,pren,p,ren,yo,0,0,o,0,NULL,0,sorprendo
rodear,ar,NULL,de,NULL,de,yo,0,0,o,0,NULL,0,rodeo
sospechar,ar,ch,pe,NULL,pe,yo,0,0,o,0,NULL,0,sospecho
enchufar,ar,f,chu,c,hu,yo,0,0,o,0,NULL,0,enchufo
conversar,ar,s,ver,v,er,yo,0,0,o,0,NULL,0,converso
saborear,ar,NULL,re,NULL,re,yo,0,0,o,0,NULL,0,saboreo
tomar,ar,m,to,NULL,to,yo,0,0,o,0,NULL,0,tomo
atormentar,ar,t,men,m,en,yo,0,0,o,0,NULL,0,atormento
tentar,ar,t,ten,t,en,yo,0,0,o,tien,t,ien,tiento
aterrorizar,ar,z,ri,NULL,ri,yo,0,0,o,0,NULL,0,aterrorizo
comprobar,ar,b,pro,p,ro,yo,0,0,o,prue,p,rue,compruebo
agradecer,er,c,de,NULL,de,yo,0,0,o,dez,d,ez,agradezco
tildar,ar,d,til,t,il,yo,0,0,o,0,NULL,0,tildo
remolcar,ar,c,mol,m,ol,yo,0,0,o,0,NULL,0,remolco
comerciar,ar,ci,mer,m,er,yo,0,0,o,0,NULL,0,comercio
negociar,ar,ci,go,NULL,go,yo,0,0,o,0,NULL,0,negocio
entrenar,ar,n,tre,t,re,yo,0,0,o,0,NULL,0,entreno
transportar,ar,t,por,p,or,yo,0,0,o,0,NULL,0,transporto
viajar,ar,j,via,v,ia,yo,0,0,o,0,NULL,0,viajo
temblar,ar,bl,tem,t,em,yo,0,0,o,tiem,t,iem,tiemblo
tratar,ar,t,tra,t,ra,yo,0,0,o,0,NULL,0,trato
volver,er,v,vol,v,ol,yo,0,0,o,vuel,v,uel,vuelvo
escribir,ir,b,cri,c,ri,yo,0,0,o,0,NULL,0,escribo
usar,ar,s,u,NULL,u,yo,0,0,o,0,NULL,0,uso
visitar,ar,t,si,NULL,si,yo,0,0,o,0,NULL,0,visito
caminar,ar,n,mi,NULL,mi,yo,0,0,o,0,NULL,0,camino
querer,er,r,que,q,ue,yo,0,0,o,quie,q,uie,quiero
lavar,ar,v,la,NULL,la,yo,0,0,o,0,NULL,0,lavo
gastar,ar,t,gas,g,as,yo,0,0,o,0,NULL,0,gasto
desperdiciar,ar,ci,di,NULL,di,yo,0,0,o,0,NULL,0,desperdicio
vigilar,ar,l,gi,NULL,gi,yo,0,0,o,0,NULL,0,vigilo
pesar,ar,s,pe,NULL,pe,yo,0,0,o,0,NULL,0,peso
susurrar,ar,rr,su,NULL,su,yo,0,0,o,0,NULL,0,susurro
silbar,ar,b,sil,s,il,yo,0,0,o,0,NULL,0,silbo
trabajar,ar,j,ba,NULL,ba,yo,0,0,o,0,NULL,0,trabajo
bostezar,ar,z,te,NULL,te,yo,0,0,o,0,NULL,0,bostezo
acercar,ar,c,cer,c,er,yo,0,0,o,0,NULL,0,acerco
